treatment,dose_uM,replID,plateID,cell_line,timeID,timeAfterExposure,locationID,IntegratedIntensity_GM,MeanIntensity_GM,Cell_count
CDDP,1,1,p53,HepG2 P53-GFP,1,0,B09_1,1.3360408483263195,0.21727672633647438,1222
CDDP,1,1,p53,HepG2 P53-GFP,1,0,B09_2,1.3791937205240015,0.22374410776452983,1108
CDDP,1,1,p53,HepG2 P53-GFP,2,2,B09_1,1.3872906153507558,0.2270616981444984,1192
CDDP,1,1,p53,HepG2 P53-GFP,2,2,B09_2,1.4269383320703435,0.23308712007889948,1093
CDDP,1,1,p53,HepG2 P53-GFP,3,4,B09_1,1.4122119500886752,0.23218663934893932,1235
CDDP,1,1,p53,HepG2 P53-GFP,3,4,B09_2,1.4401805665937923,0.238068049836144,1118
CDDP,1,1,p53,HepG2 P53-GFP,4,6,B09_1,1.3716780548052243,0.22598999728737335,1244
CDDP,1,1,p53,HepG2 P53-GFP,4,6,B09_2,1.3880503148519336,0.23229902356266113,1129
CDDP,1,1,p53,HepG2 P53-GFP,5,8,B09_1,1.3869865727000126,0.23036654885933186,1231
CDDP,1,1,p53,HepG2 P53-GFP,5,8,B09_2,1.4135801004717805,0.23673043671951394,1120
CDDP,1,1,p53,HepG2 P53-GFP,6,10,B09_1,1.396944811943535,0.23141357742270596,1221
CDDP,1,1,p53,HepG2 P53-GFP,6,10,B09_2,1.4152923979394914,0.23878802846689823,1122
CDDP,1,1,p53,HepG2 P53-GFP,7,12,B09_1,1.3720628472552527,0.2297660847934416,1223
CDDP,1,1,p53,HepG2 P53-GFP,7,12,B09_2,1.4090323319646085,0.2375737891704313,1128
CDDP,1,1,p53,HepG2 P53-GFP,8,14,B09_1,1.3890209279734618,0.2324799120755884,1183
CDDP,1,1,p53,HepG2 P53-GFP,8,14,B09_2,1.4335417644866288,0.24001625536578922,1123
CDDP,1,1,p53,HepG2 P53-GFP,9,16,B09_1,1.3980669585267336,0.23425212020794886,1226
CDDP,1,1,p53,HepG2 P53-GFP,9,16,B09_2,1.4454695933217807,0.24177062756592416,1130
CDDP,1,1,p53,HepG2 P53-GFP,10,18,B09_1,1.3934716917698964,0.23356805071022096,1241
CDDP,1,1,p53,HepG2 P53-GFP,10,18,B09_2,1.445249283942704,0.2414720427379267,1112
CDDP,1,1,p53,HepG2 P53-GFP,11,20,B09_1,1.400830971511765,0.23451296265831503,1233
CDDP,1,1,p53,HepG2 P53-GFP,11,20,B09_2,1.4539866056903243,0.2435176590893937,1127
CDDP,1,1,p53,HepG2 P53-GFP,12,22,B09_1,1.3939918447196444,0.2341750175025767,1263
CDDP,1,1,p53,HepG2 P53-GFP,12,22,B09_2,1.4382704145809162,0.24203096358245274,1126
CDDP,1,2,p53,HepG2 P53-GFP,1,0,D09_1,1.3799913899295466,0.22346697162549423,1108
CDDP,1,2,p53,HepG2 P53-GFP,1,0,D09_2,1.3502235495766615,0.21956341483439074,1115
CDDP,1,2,p53,HepG2 P53-GFP,2,2,D09_1,1.4309357983105422,0.23524905368602111,1133
CDDP,1,2,p53,HepG2 P53-GFP,2,2,D09_2,1.4261492708717418,0.23295730271349918,1147
CDDP,1,2,p53,HepG2 P53-GFP,3,4,D09_1,1.4568228304575013,0.24046182889912388,1163
CDDP,1,2,p53,HepG2 P53-GFP,3,4,D09_2,1.4225294560097408,0.23500831524902815,1178
CDDP,1,2,p53,HepG2 P53-GFP,4,6,D09_1,1.4384536688026723,0.23632000500883382,1139
CDDP,1,2,p53,HepG2 P53-GFP,4,6,D09_2,1.4120386563201763,0.23474561612761977,1184
CDDP,1,2,p53,HepG2 P53-GFP,5,8,D09_1,1.4626748163965455,0.24221536596061652,1124
CDDP,1,2,p53,HepG2 P53-GFP,5,8,D09_2,1.431306284051006,0.23777572278256817,1179
CDDP,1,2,p53,HepG2 P53-GFP,6,10,D09_1,1.4655844196538776,0.24185556740224562,1121
CDDP,1,2,p53,HepG2 P53-GFP,6,10,D09_2,1.411026627771866,0.23633729485594393,1178
CDDP,1,2,p53,HepG2 P53-GFP,7,12,D09_1,1.4455605991296456,0.24321996258595768,1170
CDDP,1,2,p53,HepG2 P53-GFP,7,12,D09_2,1.4209104216495378,0.23698826610560697,1178
CDDP,1,2,p53,HepG2 P53-GFP,8,14,D09_1,1.451234560937292,0.2423838154410928,1141
CDDP,1,2,p53,HepG2 P53-GFP,8,14,D09_2,1.435390730168642,0.2379152933724426,1194
CDDP,1,2,p53,HepG2 P53-GFP,9,16,D09_1,1.4369881684105863,0.24287850081269696,1201
CDDP,1,2,p53,HepG2 P53-GFP,9,16,D09_2,1.4508809069413338,0.24094855176776925,1174
CDDP,1,2,p53,HepG2 P53-GFP,10,18,D09_1,1.4222975446743773,0.2422446275888362,1202
CDDP,1,2,p53,HepG2 P53-GFP,10,18,D09_2,1.432782207201019,0.2418063373649755,1220
CDDP,1,2,p53,HepG2 P53-GFP,11,20,D09_1,1.4380221732582434,0.24465335168080082,1230
CDDP,1,2,p53,HepG2 P53-GFP,11,20,D09_2,1.4503001632407408,0.24474287466934116,1198
CDDP,1,2,p53,HepG2 P53-GFP,12,22,D09_1,1.42153572951878,0.2437708640383784,1239
CDDP,1,2,p53,HepG2 P53-GFP,12,22,D09_2,1.4394244820219892,0.24489717328504945,1243
CDDP,1,3,p53,HepG2 P53-GFP,1,0,F09_1,1.3908194022546683,0.22450595920907174,901
CDDP,1,3,p53,HepG2 P53-GFP,1,0,F09_2,1.3683410918397294,0.2182937456765367,959
CDDP,1,3,p53,HepG2 P53-GFP,2,2,F09_1,1.4625678119689465,0.2378588346229725,890
CDDP,1,3,p53,HepG2 P53-GFP,2,2,F09_2,1.4540297763044712,0.23532287012668718,967
CDDP,1,3,p53,HepG2 P53-GFP,3,4,F09_1,1.485302189220157,0.24148199441506654,893
CDDP,1,3,p53,HepG2 P53-GFP,3,4,F09_2,1.4801236067869765,0.2400676205366166,982
CDDP,1,3,p53,HepG2 P53-GFP,4,6,F09_1,1.4690977221430273,0.23809021003743056,893
CDDP,1,3,p53,HepG2 P53-GFP,4,6,F09_2,1.4238180256552717,0.23427796709016954,1023
CDDP,1,3,p53,HepG2 P53-GFP,5,8,F09_1,1.4561669142103009,0.24129466111204825,937
CDDP,1,3,p53,HepG2 P53-GFP,5,8,F09_2,1.4606853020885024,0.2397238448299623,1011
CDDP,1,3,p53,HepG2 P53-GFP,6,10,F09_1,1.4467452698141023,0.24221474809647933,919
CDDP,1,3,p53,HepG2 P53-GFP,6,10,F09_2,1.4678204493694211,0.24364240897123035,1022
CDDP,1,3,p53,HepG2 P53-GFP,7,12,F09_1,1.4758757739859856,0.24335370020563332,898
CDDP,1,3,p53,HepG2 P53-GFP,7,12,F09_2,1.4505241185401412,0.24134119361558393,1011
CDDP,1,3,p53,HepG2 P53-GFP,8,14,F09_1,1.4499352820940419,0.2426787338523673,919
CDDP,1,3,p53,HepG2 P53-GFP,8,14,F09_2,1.427847938070417,0.2381625080388281,1021
CDDP,1,3,p53,HepG2 P53-GFP,9,16,F09_1,1.5015352112779332,0.24734890639803025,884
CDDP,1,3,p53,HepG2 P53-GFP,9,16,F09_2,1.4749443890165825,0.2468106175747061,1065
CDDP,1,3,p53,HepG2 P53-GFP,10,18,F09_1,1.506169723680662,0.24666384981271647,896
CDDP,1,3,p53,HepG2 P53-GFP,10,18,F09_2,1.4517276395457406,0.24395912530035951,1054
CDDP,1,3,p53,HepG2 P53-GFP,11,20,F09_1,1.4782426214902444,0.24469003427439368,927
CDDP,1,3,p53,HepG2 P53-GFP,11,20,F09_2,1.4296486644812463,0.23889768855463409,1083
CDDP,1,3,p53,HepG2 P53-GFP,12,22,F09_1,1.4672947708358766,0.24436020849514103,971
CDDP,1,3,p53,HepG2 P53-GFP,12,22,F09_2,1.4495054458190029,0.24633309876296774,1111
CDDP,2.5,1,p53,HepG2 P53-GFP,1,0,B08_1,1.4016997681200793,0.22592822828147358,1009
CDDP,2.5,1,p53,HepG2 P53-GFP,1,0,B08_2,1.3569264605693756,0.22449137429743815,1356
CDDP,2.5,1,p53,HepG2 P53-GFP,2,2,B08_1,1.4343700903399368,0.23287885094630137,1045
CDDP,2.5,1,p53,HepG2 P53-GFP,2,2,B08_2,1.430341014969653,0.23482841808151309,1351
CDDP,2.5,1,p53,HepG2 P53-GFP,3,4,B08_1,1.4677546548076308,0.23972940279897295,1064
CDDP,2.5,1,p53,HepG2 P53-GFP,3,4,B08_2,1.4603630218686097,0.24085123108563897,1367
CDDP,2.5,1,p53,HepG2 P53-GFP,4,6,B08_1,1.4377044135267885,0.24000327479787448,1104
CDDP,2.5,1,p53,HepG2 P53-GFP,4,6,B08_2,1.4486504202397354,0.24100510783078583,1364
CDDP,2.5,1,p53,HepG2 P53-GFP,5,8,B08_1,1.4595972122223617,0.24200511313020506,1061
CDDP,2.5,1,p53,HepG2 P53-GFP,5,8,B08_2,1.4704164260015369,0.2447898332122914,1378
CDDP,2.5,1,p53,HepG2 P53-GFP,6,10,B08_1,1.4522673868139038,0.24290168612135118,1071
CDDP,2.5,1,p53,HepG2 P53-GFP,6,10,B08_2,1.4713658904314806,0.24498410356639824,1361
CDDP,2.5,1,p53,HepG2 P53-GFP,7,12,B08_1,1.4501930411289212,0.24324391808044657,1057
CDDP,2.5,1,p53,HepG2 P53-GFP,7,12,B08_2,1.4618562612456294,0.2454139329760495,1385
CDDP,2.5,1,p53,HepG2 P53-GFP,8,14,B08_1,1.460227293099016,0.245422404929302,1048
CDDP,2.5,1,p53,HepG2 P53-GFP,8,14,B08_2,1.4558551956724772,0.24697868942227236,1398
CDDP,2.5,1,p53,HepG2 P53-GFP,9,16,B08_1,1.4599565490163755,0.24731255640008962,1073
CDDP,2.5,1,p53,HepG2 P53-GFP,9,16,B08_2,1.4776295691528143,0.2505253343577028,1406
CDDP,2.5,1,p53,HepG2 P53-GFP,10,18,B08_1,1.4493631245309377,0.2464523587572118,1054
CDDP,2.5,1,p53,HepG2 P53-GFP,10,18,B08_2,1.4834011011920505,0.2492437821014918,1375
CDDP,2.5,1,p53,HepG2 P53-GFP,11,20,B08_1,1.4388771877567748,0.2463932321886729,1081
CDDP,2.5,1,p53,HepG2 P53-GFP,11,20,B08_2,1.4962478425923607,0.25097207920549075,1383
CDDP,2.5,1,p53,HepG2 P53-GFP,12,22,B08_1,1.4330523391805656,0.2460076881245855,1087
CDDP,2.5,1,p53,HepG2 P53-GFP,12,22,B08_2,1.5040103006120962,0.2514702518358074,1398
CDDP,2.5,2,p53,HepG2 P53-GFP,1,0,D08_1,1.4148004404250591,0.2278566971919076,1094
CDDP,2.5,2,p53,HepG2 P53-GFP,1,0,D08_2,1.4340539417230576,0.23063557893128048,1174
CDDP,2.5,2,p53,HepG2 P53-GFP,2,2,D08_1,1.501679822464412,0.24311275183007905,1127
CDDP,2.5,2,p53,HepG2 P53-GFP,2,2,D08_2,1.5230070486495932,0.24677635987160307,1188
CDDP,2.5,2,p53,HepG2 P53-GFP,3,4,D08_1,1.5242597482552676,0.24909305701487924,1152
CDDP,2.5,2,p53,HepG2 P53-GFP,3,4,D08_2,1.5529038675122147,0.2548691539908293,1232
CDDP,2.5,2,p53,HepG2 P53-GFP,4,6,D08_1,1.5289060679994049,0.2501727170095954,1182
CDDP,2.5,2,p53,HepG2 P53-GFP,4,6,D08_2,1.5277348647262154,0.2519173159365135,1240
CDDP,2.5,2,p53,HepG2 P53-GFP,5,8,D08_1,1.5254043216901279,0.25178957297775845,1204
CDDP,2.5,2,p53,HepG2 P53-GFP,5,8,D08_2,1.548493256775743,0.254972899954003,1235
CDDP,2.5,2,p53,HepG2 P53-GFP,6,10,D08_1,1.5077840318657538,0.25103004509920346,1210
CDDP,2.5,2,p53,HepG2 P53-GFP,6,10,D08_2,1.5316311490821266,0.2555165012375298,1260
CDDP,2.5,2,p53,HepG2 P53-GFP,7,12,D08_1,1.5094658807790706,0.25099298217641963,1230
CDDP,2.5,2,p53,HepG2 P53-GFP,7,12,D08_2,1.5177408833380146,0.25425830424041257,1298
CDDP,2.5,2,p53,HepG2 P53-GFP,8,14,D08_1,1.5026525391747971,0.2506090187361739,1225
CDDP,2.5,2,p53,HepG2 P53-GFP,8,14,D08_2,1.5186775209562575,0.25516087572951335,1331
CDDP,2.5,2,p53,HepG2 P53-GFP,9,16,D08_1,1.478258471090476,0.2516050561492271,1297
CDDP,2.5,2,p53,HepG2 P53-GFP,9,16,D08_2,1.528713325194526,0.25700674633884163,1308
CDDP,2.5,2,p53,HepG2 P53-GFP,10,18,D08_1,1.4689687095868418,0.251876419927421,1301
CDDP,2.5,2,p53,HepG2 P53-GFP,10,18,D08_2,1.523234761542559,0.25611528968394687,1322
CDDP,2.5,2,p53,HepG2 P53-GFP,11,20,D08_1,1.4619552092978672,0.2527766270176544,1337
CDDP,2.5,2,p53,HepG2 P53-GFP,11,20,D08_2,1.5124208618795363,0.25614808036061193,1349
CDDP,2.5,2,p53,HepG2 P53-GFP,12,22,D08_1,1.4623716230925252,0.25179642210826697,1328
CDDP,2.5,2,p53,HepG2 P53-GFP,12,22,D08_2,1.5010927238499019,0.2541085471111372,1379
CDDP,2.5,3,p53,HepG2 P53-GFP,1,0,F08_1,1.385645962229885,0.22438826901024667,881
CDDP,2.5,3,p53,HepG2 P53-GFP,1,0,F08_2,1.4016486572852234,0.22564158526744477,1011
CDDP,2.5,3,p53,HepG2 P53-GFP,2,2,F08_1,1.4714159501179689,0.23840031845049053,880
CDDP,2.5,3,p53,HepG2 P53-GFP,2,2,F08_2,1.4843214476032334,0.24278793449099384,1046
CDDP,2.5,3,p53,HepG2 P53-GFP,3,4,F08_1,1.4894743529542844,0.24407661759337965,886
CDDP,2.5,3,p53,HepG2 P53-GFP,3,4,F08_2,1.5316225952771267,0.24826319949680437,1041
CDDP,2.5,3,p53,HepG2 P53-GFP,4,6,F08_1,1.4696294965654868,0.24323472010795016,898
CDDP,2.5,3,p53,HepG2 P53-GFP,4,6,F08_2,1.505126318792267,0.2449412152735327,1060
CDDP,2.5,3,p53,HepG2 P53-GFP,5,8,F08_1,1.4681846338073583,0.24329354497512384,903
CDDP,2.5,3,p53,HepG2 P53-GFP,5,8,F08_2,1.5244771150256007,0.2472131921534036,1029
CDDP,2.5,3,p53,HepG2 P53-GFP,6,10,F08_1,1.450198548713662,0.24092977956209716,891
CDDP,2.5,3,p53,HepG2 P53-GFP,6,10,F08_2,1.4847365975041982,0.2469059955326434,1100
CDDP,2.5,3,p53,HepG2 P53-GFP,7,12,F08_1,1.4632854282016063,0.24343416908530074,904
CDDP,2.5,3,p53,HepG2 P53-GFP,7,12,F08_2,1.5100622318356776,0.2491839262688957,1083
CDDP,2.5,3,p53,HepG2 P53-GFP,8,14,F08_1,1.4544759909660865,0.24532656875745243,915
CDDP,2.5,3,p53,HepG2 P53-GFP,8,14,F08_2,1.5001563734267156,0.2458687874334074,1096
CDDP,2.5,3,p53,HepG2 P53-GFP,9,16,F08_1,1.4881494868944385,0.2496631174580244,921
CDDP,2.5,3,p53,HepG2 P53-GFP,9,16,F08_2,1.4964683740614466,0.24871890968834848,1120
CDDP,2.5,3,p53,HepG2 P53-GFP,10,18,F08_1,1.4593334696325435,0.24729326271020094,933
CDDP,2.5,3,p53,HepG2 P53-GFP,10,18,F08_2,1.5048201094111773,0.24905350065714144,1126
CDDP,2.5,3,p53,HepG2 P53-GFP,11,20,F08_1,1.4317419894614432,0.2423712745848319,963
CDDP,2.5,3,p53,HepG2 P53-GFP,11,20,F08_2,1.479016949006248,0.2468110845038286,1145
CDDP,2.5,3,p53,HepG2 P53-GFP,12,22,F08_1,1.4514365611883795,0.24362275334250338,943
CDDP,2.5,3,p53,HepG2 P53-GFP,12,22,F08_2,1.4862221481078997,0.2486399821994497,1166
CDDP,5,1,p53,HepG2 P53-GFP,1,0,B07_1,1.3428312542718863,0.21747018658620285,1049
CDDP,5,1,p53,HepG2 P53-GFP,1,0,B07_2,1.3585764934187725,0.2214098561198616,1150
CDDP,5,1,p53,HepG2 P53-GFP,2,2,B07_1,1.3795027679107594,0.22591661078046119,1039
CDDP,5,1,p53,HepG2 P53-GFP,2,2,B07_2,1.42972098055978,0.2311902208918526,1122
CDDP,5,1,p53,HepG2 P53-GFP,3,4,B07_1,1.391415534163977,0.22760667205387033,1086
CDDP,5,1,p53,HepG2 P53-GFP,3,4,B07_2,1.4178443126544418,0.23344931131573257,1178
CDDP,5,1,p53,HepG2 P53-GFP,4,6,B07_1,1.3637882113537723,0.22437400583883807,1084
CDDP,5,1,p53,HepG2 P53-GFP,4,6,B07_2,1.412368709067067,0.2353791620020376,1201
CDDP,5,1,p53,HepG2 P53-GFP,5,8,B07_1,1.3768743638612837,0.22816285872413777,1115
CDDP,5,1,p53,HepG2 P53-GFP,5,8,B07_2,1.4351423076995569,0.2387940526291994,1177
CDDP,5,1,p53,HepG2 P53-GFP,6,10,B07_1,1.374130175187544,0.2281770314055985,1125
CDDP,5,1,p53,HepG2 P53-GFP,6,10,B07_2,1.4083424546999634,0.23499313488017268,1230
CDDP,5,1,p53,HepG2 P53-GFP,7,12,B07_1,1.3646704235599043,0.22700286724664812,1112
CDDP,5,1,p53,HepG2 P53-GFP,7,12,B07_2,1.4064762439780198,0.2364727715260068,1248
CDDP,5,1,p53,HepG2 P53-GFP,8,14,B07_1,1.364401215520344,0.23032327149374446,1120
CDDP,5,1,p53,HepG2 P53-GFP,8,14,B07_2,1.4201662469185203,0.23756576768742943,1215
CDDP,5,1,p53,HepG2 P53-GFP,9,16,B07_1,1.3851157408130577,0.23166743670684414,1143
CDDP,5,1,p53,HepG2 P53-GFP,9,16,B07_2,1.4123039299846352,0.2381704936937192,1265
CDDP,5,1,p53,HepG2 P53-GFP,10,18,B07_1,1.380540512433074,0.23126014168219902,1170
CDDP,5,1,p53,HepG2 P53-GFP,10,18,B07_2,1.4056970288464805,0.23923368902359715,1281
CDDP,5,1,p53,HepG2 P53-GFP,11,20,B07_1,1.3957859673301718,0.23442438781045294,1124
CDDP,5,1,p53,HepG2 P53-GFP,11,20,B07_2,1.4308513687709907,0.24117184464140792,1282
CDDP,5,1,p53,HepG2 P53-GFP,12,22,B07_1,1.383700759781744,0.23398598209169164,1153
CDDP,5,1,p53,HepG2 P53-GFP,12,22,B07_2,1.4136359275879145,0.24109095458284777,1307
CDDP,5,2,p53,HepG2 P53-GFP,1,0,D07_1,1.4032374921912263,0.2272884181484921,1132
CDDP,5,2,p53,HepG2 P53-GFP,1,0,D07_2,1.3589583913863115,0.22295694234676317,1247
CDDP,5,2,p53,HepG2 P53-GFP,2,2,D07_1,1.4945064934516377,0.24274222912431917,1165
CDDP,5,2,p53,HepG2 P53-GFP,2,2,D07_2,1.4860076760766983,0.24372683370392959,1283
CDDP,5,2,p53,HepG2 P53-GFP,3,4,D07_1,1.5306157615129585,0.24953074242547213,1180
CDDP,5,2,p53,HepG2 P53-GFP,3,4,D07_2,1.526661321765504,0.2512590466316926,1306
CDDP,5,2,p53,HepG2 P53-GFP,4,6,D07_1,1.5125031218721294,0.24740840427308627,1214
CDDP,5,2,p53,HepG2 P53-GFP,4,6,D07_2,1.4846142781693443,0.24446745530237318,1302
CDDP,5,2,p53,HepG2 P53-GFP,5,8,D07_1,1.4626926269794278,0.24083876778662572,1215
CDDP,5,2,p53,HepG2 P53-GFP,5,8,D07_2,1.4820375661700234,0.24491918686701014,1316
CDDP,5,2,p53,HepG2 P53-GFP,6,10,D07_1,1.4530457665373273,0.23988448907424334,1241
CDDP,5,2,p53,HepG2 P53-GFP,6,10,D07_2,1.5055856119218325,0.24961960389372195,1351
CDDP,5,2,p53,HepG2 P53-GFP,7,12,D07_1,1.460150478700245,0.2436579298914981,1263
CDDP,5,2,p53,HepG2 P53-GFP,7,12,D07_2,1.4579221456922304,0.24197836731959216,1328
CDDP,5,2,p53,HepG2 P53-GFP,8,14,D07_1,1.4772844689866338,0.24577645233180484,1254
CDDP,5,2,p53,HepG2 P53-GFP,8,14,D07_2,1.474668247976298,0.24334363195586542,1338
CDDP,5,2,p53,HepG2 P53-GFP,9,16,D07_1,1.4357890541431066,0.24059451784723937,1278
CDDP,5,2,p53,HepG2 P53-GFP,9,16,D07_2,1.485864749657477,0.24756905985061953,1361
CDDP,5,2,p53,HepG2 P53-GFP,10,18,D07_1,1.4708963884617097,0.24419499335881872,1292
CDDP,5,2,p53,HepG2 P53-GFP,10,18,D07_2,1.4670320829852566,0.2476648865501183,1416
CDDP,5,2,p53,HepG2 P53-GFP,11,20,D07_1,1.4564310551399942,0.24345905582143432,1291
CDDP,5,2,p53,HepG2 P53-GFP,11,20,D07_2,1.465661022543014,0.24824224911566473,1427
CDDP,5,2,p53,HepG2 P53-GFP,12,22,D07_1,1.4502673340350873,0.24472329267918128,1313
CDDP,5,2,p53,HepG2 P53-GFP,12,22,D07_2,1.4507480555509837,0.24723818981940812,1449
CDDP,5,3,p53,HepG2 P53-GFP,1,0,F07_1,1.4172761530206972,0.22861112989128568,916
CDDP,5,3,p53,HepG2 P53-GFP,1,0,F07_2,1.406615965313513,0.2246668267679485,1172
CDDP,5,3,p53,HepG2 P53-GFP,2,2,F07_1,1.5046385045820794,0.24493530395391425,944
CDDP,5,3,p53,HepG2 P53-GFP,2,2,F07_2,1.5234226922864642,0.24536027922611583,1190
CDDP,5,3,p53,HepG2 P53-GFP,3,4,F07_1,1.546386491157985,0.252174513608374,979
CDDP,5,3,p53,HepG2 P53-GFP,3,4,F07_2,1.5581117281579833,0.25163862472419285,1222
CDDP,5,3,p53,HepG2 P53-GFP,4,6,F07_1,1.5209809708946695,0.2473025931846588,970
CDDP,5,3,p53,HepG2 P53-GFP,4,6,F07_2,1.5160897537988627,0.24533925109636837,1245
CDDP,5,3,p53,HepG2 P53-GFP,5,8,F07_1,1.5240244653709634,0.2500146895751787,969
CDDP,5,3,p53,HepG2 P53-GFP,5,8,F07_2,1.5175658689355322,0.24861859319227633,1275
CDDP,5,3,p53,HepG2 P53-GFP,6,10,F07_1,1.4973597160404997,0.24904416894839165,1017
CDDP,5,3,p53,HepG2 P53-GFP,6,10,F07_2,1.4779292013835228,0.24585393762372507,1307
CDDP,5,3,p53,HepG2 P53-GFP,7,12,F07_1,1.489319038724061,0.2485510765158274,997
CDDP,5,3,p53,HepG2 P53-GFP,7,12,F07_2,1.484272771468529,0.2452376199412625,1306
CDDP,5,3,p53,HepG2 P53-GFP,8,14,F07_1,1.462488423588972,0.2431416399956918,999
CDDP,5,3,p53,HepG2 P53-GFP,8,14,F07_2,1.4578902586388052,0.24533618594050152,1361
CDDP,5,3,p53,HepG2 P53-GFP,9,16,F07_1,1.4985093586310967,0.24942861023093307,1032
CDDP,5,3,p53,HepG2 P53-GFP,9,16,F07_2,1.4740444465408449,0.2468631420994944,1368
CDDP,5,3,p53,HepG2 P53-GFP,10,18,F07_1,1.4466159682094133,0.2429205649311398,1064
CDDP,5,3,p53,HepG2 P53-GFP,10,18,F07_2,1.4969987227335761,0.251234582367787,1369
CDDP,5,3,p53,HepG2 P53-GFP,11,20,F07_1,1.4638699342408175,0.24556781109589554,1060
CDDP,5,3,p53,HepG2 P53-GFP,11,20,F07_2,1.4931096587264303,0.2488109992895694,1379
